date,time,volume,open,close,min,max
03/29/2012,07:55:01,344.84,1.33341,1.33396,1.33337,1.33417
03/29/2012,07:56:01,341.46,1.33395,1.333975,1.33388,1.334265
03/29/2012,07:57:01,287.32,1.333965,1.33359,1.33359,1.334
03/29/2012,07:58:01,274.29,1.333575,1.334015,1.33357,1.334025
03/29/2012,07:59:01,310.48,1.334015,1.33403,1.33377,1.33406
03/29/2012,08:00:01,311.8,1.33403,1.333625,1.333545,1.33413
03/29/2012,08:01:01,282.04,1.33364,1.333335,1.333215,1.333685
03/29/2012,08:02:01,253.5,1.33332,1.33322,1.33313,1.33337
03/29/2012,08:03:01,349.51,1.333205,1.333345,1.33307,1.333555
03/29/2012,08:04:01,283.25,1.3333,1.33317,1.33301,1.33341
03/29/2012,08:05:01,331.3,1.33316,1.3331,1.332775,1.33316
03/29/2012,08:06:01,267.25,1.333095,1.33318,1.3328,1.33318
03/29/2012,08:07:01,307.25,1.333195,1.333465,1.333195,1.33357
03/29/2012,08:08:01,267.66,1.333465,1.33333,1.33322,1.333485
03/29/2012,08:09:01,193.76,1.33333,1.333385,1.333155,1.33347
03/29/2012,08:10:01,237.79,1.333385,1.333825,1.333325,1.333915
03/29/2012,08:11:01,222.24,1.333815,1.33384,1.333805,1.333915
03/29/2012,08:12:01,224.41,1.33383,1.33382,1.333665,1.33392
03/29/2012,08:13:01,200.98,1.33382,1.333925,1.333665,1.333925
03/29/2012,08:14:01,214.64,1.33392,1.33396,1.333805,1.334095
03/29/2012,08:15:01,296.48,1.333945,1.333625,1.333575,1.33399
03/29/2012,08:16:01,199.36,1.333615,1.333635,1.33354,1.333685
03/29/2012,08:17:01,160.65,1.33369,1.333435,1.3333,1.333695
03/29/2012,08:18:01,236.22,1.333425,1.333205,1.333185,1.333445
03/29/2012,08:19:01,207.25,1.333205,1.33305,1.33304,1.33334
03/29/2012,08:20:01,158.47,1.333055,1.33319,1.333055,1.33327
03/29/2012,08:21:01,212.93,1.333185,1.333545,1.33314,1.33367
03/29/2012,08:22:01,230.83,1.33354,1.33363,1.333525,1.333845
03/29/2012,08:23:01,143.85,1.333635,1.33375,1.333625,1.333845
03/29/2012,08:24:01,225.23,1.33375,1.333565,1.333485,1.33376
03/29/2012,08:25:01,245.45,1.333565,1.33351,1.33342,1.333615
03/29/2012,08:26:01,132.24,1.33351,1.333505,1.33348,1.3336
03/29/2012,08:27:01,167.58,1.333515,1.33357,1.333365,1.33367
03/29/2012,08:28:01,213.76,1.33358,1.33373,1.33358,1.33383
03/29/2012,08:29:01,170.86,1.333735,1.333615,1.333615,1.33381
03/29/2012,08:30:01,252.18,1.33361,1.333365,1.33325,1.33361
03/29/2012,08:31:01,288.5,1.33336,1.332815,1.33279,1.333395
03/29/2012,08:32:01,314.92,1.33279,1.33244,1.332395,1.33298
03/29/2012,08:33:01,271.95,1.332425,1.33271,1.33235,1.33275
03/29/2012,08:34:01,237.49,1.33268,1.33261,1.332375,1.33269
03/29/2012,08:35:01,193.01,1.33259,1.33264,1.332475,1.332735
03/29/2012,08:36:01,334.6,1.332655,1.332785,1.33244,1.33297
03/29/2012,08:37:01,166.06,1.33279,1.332745,1.33264,1.332855
03/29/2012,08:38:01,232.88,1.33275,1.332715,1.332665,1.33281
03/29/2012,08:39:01,196.42,1.332715,1.332755,1.33263,1.33284
03/29/2012,08:40:01,185.46,1.332755,1.33289,1.33272,1.3329
03/29/2012,08:41:01,268.44,1.33289,1.33225,1.332045,1.332915
03/29/2012,08:42:01,176.57,1.33225,1.33209,1.332055,1.33228
03/29/2012,08:43:01,222.47,1.33209,1.332185,1.33194,1.332185
03/29/2012,08:44:01,242.71,1.332185,1.332395,1.33215,1.332395
03/29/2012,08:45:01,252.51,1.3324,1.33238,1.332275,1.332445
03/29/2012,08:46:01,202.38,1.33238,1.33227,1.3321,1.33242
03/29/2012,08:47:01,247.62,1.33227,1.33241,1.332265,1.33249
03/29/2012,08:48:01,235.69,1.33242,1.332595,1.332415,1.332655
03/29/2012,08:49:01,224.05,1.33258,1.332605,1.33256,1.332775
03/29/2012,08:50:01,139.19,1.3326,1.332745,1.33256,1.332785
